date,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,is_anomaly
2023-01-01,0.11363636363636363,0.20454545454545456,0.06818181818181818,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.045454545454545456,0.022727272727272728,0.0,0
2023-01-02,0.37037037037037035,0.037037037037037035,0.0,0.14814814814814814,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0
2023-01-03,0.4090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0
2023-01-04,0.11764705882352941,0.029411764705882353,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.029411764705882353,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.0,0.14705882352941177,0.0,0
2023-01-05,0.14285714285714285,0.07936507936507936,0.0,0.4603174603174603,0.031746031746031744,0.0,0.06349206349206349,0.06349206349206349,0.031746031746031744,0.0,0.015873015873015872,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.06349206349206349,0.031746031746031744,0.0,0
2023-01-06,0.07352941176470588,0.058823529411764705,0.3235294117647059,0.36764705882352944,0.0,0.0,0.014705882352941176,0.0,0.0,0.04411764705882353,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.014705882352941176,0.04411764705882353,0.0,0
2023-01-07,0.22727272727272727,0.18181818181818182,0.18181818181818182,0.0,0.13636363636363635,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-08,0.14285714285714285,0.19047619047619047,0.0,0.2857142857142857,0.19047619047619047,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0
2023-01-09,0.07894736842105263,0.07894736842105263,0.0,0.5263157894736842,0.10526315789473684,0.0,0.02631578947368421,0.05263157894736842,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0
2023-01-10,0.02857142857142857,0.0,0.08571428571428572,0.5142857142857142,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0,0
